order_id,order_date,amount,product_id
1011,2024-06-02,280.00,P001
1012,2024-06-18,140.00,P002
1013,2024-07-03,320.00,P003
1014,2024-07-19,90.00,P002
1015,2024-08-07,400.00,P004
1016,2024-08-24,310.00,P001
1017,2024-09-10,120.00,P003
1018,2024-09-22,260.00,P002
1019,2024-10-01,180.00,P004
1020,2024-10-16,350.00,P001
1021,2024-11-05,190.00,P003
1022,2024-11-21,410.00,P002
1023,2024-12-04,220.00,P001
1024,2024-12-19,330.00,P004
1025,2024-01-25,275.00,P003
1026,2024-02-10,135.00,P002
1027,2024-03-12,210.00,P001
1028,2024-04-22,290.00,P003
1029,2024-05-27,175.00,P002
1030,2024-06-30,195.00,P001
